h_m,tau_s,X_db,T_a_c,T_p_c,Y_kg_kg_da,dX_dh_current,dY_dh_current,dT_p_dh_current,dT_p_dh_matlab_like,dT_p_dh_delta,dH_h_dh_current,dH_h_dh_matlab_like,dT_a_dh_current,dT_a_dh_matlab_like,h_fg_current_j_kg,h_fg_particle_j_kg,q_sorption_j_kg
0.7899159663865546,0.15798319327731095,0.06794472294763505,108.52207543447219,103.38091843739801,0.02195359847227803,-0.18244366450268787,0.0020707064274372014,-19.011354899520043,-19.011354899520043,0.0,-33704.02088734037,-33704.02088734037,-37.47752341219979,-39.2351402480612,2231272.1119695357,2245464.9764401815,633000.0
0.8067226890756303,0.16134453781512612,0.06496328775217639,107.89672282826035,103.0570894761749,0.021987437285146936,-0.1724474478645497,0.0019572509665470132,-19.51596970463774,-19.51596970463777,2.842170943040401e-14,-33455.747762859944,-33455.747762859944,-36.94318065743107,-38.6076317748703,2233008.1692724,2246352.8802733906,633000.0
0.8235294117647058,0.16470588235294123,0.06214504774399759,107.28017176019529,102.7251372866146,0.022019423858727905,-0.16301877539502477,0.0018502370412453873,-19.97945073880027,-19.979450738800303,3.197442310920451e-14,-33211.67350071099,-33211.67350071099,-36.429947373238434,-38.0063147792149,2234717.1660601324,2247262.3104464477,633000.0
0.8403361344537815,0.1680672268907564,0.059480746460783274,106.67207735963893,102.38574507183387,0.022049663252388513,-0.15412067089363363,0.0017492449775677414,-20.4017465050886,-20.40174650508863,3.197442310920451e-14,-32971.647985155345,-32971.647985155345,-35.93655367347017,-37.42960061312769,2236400.167779673,2248191.3421030715,633000.0
0.8571428571428571,0.1714285714285715,0.05696175069753399,106.07211673519163,102.03956712148425,0.022078253451625444,-0.14572070513349275,0.0016539067089729451,-20.787007236830966,-20.787007236830966,0.0,-32735.448604077577,-32735.448604077577,-35.46179796372685,-36.87600915934408,2238058.17191593,2249138.134581115,633000.0
0.8739495798319328,0.17478991596638666,0.05457995189922508,105.47998603744077,101.68720881013661,0.022105286487242023,-0.13778809602869818,0.0015638728637066824,-21.13802437160459,-21.13802437160462,2.842170943040401e-14,-32502.890452004787,-32502.890452004787,-35.004566528935754,-36.344160794727976,2239692.1167333852,2250100.9860279695,633000.0
0.8907563025210083,0.17815126050420177,0.052327752316518934,104.8953998573217,101.32922987165591,0.022130848592478693,-0.13029375226818704,0.0014788132600388024,-21.456515685852708,-21.456515685852708,0.0,-32273.819360605303,-32273.819360605303,-34.56382784167031,-35.83277140884988,2241302.8834910705,2251078.324154464,633000.0
0.907563025210084,0.1815126050420169,0.05019801712656574,104.31808935962476,100.96615487247936,0.022155020746434252,-0.12321075655839202,0.0013984223909902001,-21.744633093210858,-21.744633093210886,2.842170943040401e-14,-32048.08108188436,-32048.08108188436,-34.13861698768832,-35.34064182094146,2242891.302099576,2252068.6773559717,633000.0
0.9243697478991596,0.18487394957983203,0.04818404409114062,103.74780119324339,100.59847463685895,0.022177879018441163,-0.1165141212302867,0.0013224166505118487,-22.004739155097603,-22.00473915509757,-3.197442310920451e-14,-31825.525179011063,-31825.525179011063,-33.728031912469106,-34.86665193685729,2244458.1545821265,2253070.670591813,633000.0
0.9411764705882353,0.18823529411764717,0.0462795382221892,103.18429661840486,100.22664539638578,0.022199494855607554,-0.1101803744567822,0.0012505296371183956,-22.238743396938442,-22.238743396938442,0.0,-31606.01732572988,-31606.01732572988,-33.331232775200206,-34.409756315598926,2246004.177898401,2254083.027443396,633000.0
0.9579831932773109,0.19159663865546228,0.044478587192404176,102.62735058847863,99.85109172597942,0.022219935361903243,-0.10418752615048056,0.0011825117668331157,-22.448278667494723,-22.448278667494723,0.0,-31389.43517798546,-31389.43517798546,-32.94743677921799,-33.96897888201555,2247530.066857377,2255104.561833154,633000.0
0.9747899159663865,0.19495798319327742,0.042775636015285154,102.07675080451531,99.47221002198211,0.022239263585537013,-0.09851508901771651,0.0011181305121479197,-22.635007577153143,-22.635007577153143,0.0,-31175.66189661647,-31175.66189661647,-32.575912391440454,-33.5434075560516,2249036.477070031,2256134.168288768,633000.0
0.9915966386554621,0.19831932773109257,0.04116546254715257,101.53229683985313,99.09037008174852,0.022257538797004834,-0.0931439327239215,0.001057168746823549,-22.80053587889324,-22.80053587889324,0.0,-30964.587333718184,-30964.587333718184,-32.21597600997479,-33.132189680379675,2250524.0276770294,2257170.817390132,633000.0
1.0084033613445378,0.20168067226890768,0.039643155536372744,100.9937993583402,98.70591636671207,0.02227481673822766,-0.08805613559370913,0.0009994230627092503,-22.946293164943793,-22.94629316494378,-1.4210854715202004e-14,-30756.109846004874,-30756.109846004874,-31.866989181644534,-32.73452795062578,2251993.303790517,2258213.552079666,633000.0
1.0252100840336134,0.2050420168067228,0.03820409496050553,100.46107939943658,98.31916991381621,0.022291149845721652,-0.08323492313137021,0.0009447030719602239,-23.07359236735157,-23.0735923673516,3.197442310920451e-14,-30550.13473101678,-30550.13473101678,-31.528355154726096,-32.34967651561557,2253444.858726549,2259261.4822199326,633000.0
1.042016806722689,0.2084033613445379,0.03684393355833458,99.93396770923158,97.93043013887643,0.022306587460206674,-0.07866461211422533,0.0008928307725061121,-23.183689839952372,-23.183689839952354,-1.7763568394002505e-14,-30346.572713974976,-30346.572713974976,-31.199515657067515,-31.97693734533322,2254879.216088019,2260313.779459836,633000.0
1.0588235294117647,0.21176470588235308,0.03555857925517346,99.41230411286864,97.53997618373148,0.022321176026076278,-0.07433052452179774,0.0008436395711608692,-23.27776374241335,-23.277763742413367,1.7763568394002505e-14,-30145.340017121132,-30145.340017121132,-30.879948316582833,-31.6156569312259,2256296.87171254,2261369.6733507854,633000.0
1.0756302521008403,0.2151260504201682,0.0343441787886877,98.89593693029167,97.1480681885144,0.022334959277241998,-0.07021890959731512,0.0007969733990332674,-23.356897812711022,-23.356897812711004,-1.7763568394002505e-14,-29946.358348242342,-29946.358348242342,-30.569164255687934,-31.265223227571976,2257698.2954820124,2262428.447676618,633000.0
1.0924369747899159,0.2184873949579833,0.033197103195373744,98.38472245548968,96.75494859520484,0.022347978401859484,-0.06631688808233185,0.000752686078598772,-23.42210057532556,-23.422100575325544,-1.4210854715202004e-14,-29749.55425879018,-29749.55425879018,-30.266705743530345,-30.925062858681066,2259083.932941155,2263489.436711159,633000.0
1.1092436974789917,0.22184873949579847,0.032113932487453166,97.87852441072317,96.36084343708023,0.02236027221624332,-0.06261239553237796,0.0007106406803412198,-23.474322789243676,-23.474322789243693,1.7763568394002505e-14,-29554.85854307816,-29554.85854307816,-29.97214386979956,-30.594638329165818,2260454.2069667373,2264552.0215277593,633000.0
1.1260504201680672,0.2252100840336136,0.031091442250937316,97.37721347104741,95.96596340288278,0.022371877316976835,-0.059094123000143016,0.0006707088495164376,-23.514452165514694,-23.514452165514708,1.4210854715202004e-14,-29362.206097313465,-29362.20609731346,-29.685076590472985,-30.273445570823824,2261809.5192300486,2265615.6269303234,633000.0
1.1428571428571428,0.2285714285714287,0.030126592302950554,96.88066686047853,95.5705047860364,0.022382828209649677,-0.05575146580410161,0.0006327702246843313,-23.543310406488217,-23.543310406488217,0.0,-29171.53576719941,-29171.53576719941,-29.40512700761587,-29.961011795340553,2263150.2514512916,2266679.718705868,633000.0
1.1596638655462184,0.23193277310924382,0.029216515586903222,96.38876795679039,95.17465045974211,0.02239315743489582,-0.052574480978013365,0.0005967119547675128,-23.561665790931315,-23.561665790931297,-1.7763568394002505e-14,-28982.789918607,-28982.789918607,-29.131941645240616,-29.656893422097696,2264476.766617946,2267743.8008189625,633000.0
1.1764705882352942,0.23529411764705896,0.028358507111958798,95.90140590016472,94.77857079381727,0.022402895693928854,-0.049553843947664426,0.0005624282073392417,-23.570240139754347,-23.570240139754347,0.0,-28795.914122435104,-28795.914122435104,-28.865188818053475,-29.360674084608107,2265789.4101806474,2268807.4127751025,633000.0
