scenario,h_m,section,T_a_c,T_p_c,X_db,Y_kg_kg_da,RH_a_pct,dX_dh,dY_dh,dT_p_dh,dH_h_dh_model,dH_h_dh_sensible_only,dH_particle_sensible_dh,dH_particle_liquid_dh,dH_q_loss_dh,dT_a_dh_model,dT_a_dh_sensible_only,cp_air_j_kg_da_k,liquid_term_share_of_dH_pct
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.5661442006269594,cylinder,92.04287344238423,92.04287308332664,0.022735139913733306,0.040657986338721364,7.6208325499038985,-2.0390109901725333e-07,4.242922299084174e-09,6.2872175158214795e-06,0.0014260673636649949,-0.00020869439215701548,-0.00020869439215701548,0.0016347617558220104,-0.0,-9.159123883419914e-06,-1.0665580831113893e-05,1085.1699136337322,114.63425904514571
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.5793103448275863,cylinder,92.04287335029284,92.04287313600315,0.022735137889457864,0.04065798638084396,7.620832583298437,-1.2148303326241207e-07,2.52790727109253e-09,4.130662818386617e-06,0.0008368701833825243,-0.00013711091740348585,-0.00013711091740348585,0.0009739811007860102,-0.0,-5.4687198887377335e-06,-6.3662577659643796e-06,1085.169913715029,116.3837737472377
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.5924764890282133,cylinder,92.04287330094257,92.04287316397642,0.022735136812999646,0.04065798640324368,7.620832601163592,-7.856527646561454e-08,1.6348433875849905e-09,9.664555118118752e-07,0.0005978112221684599,-3.207998505470329e-05,-3.207998505470329e-05,0.0006298912072231632,-0.0,-3.484569660497767e-06,-4.0650236513770995e-06,1085.1699137582605,105.36624002111209
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.6056426332288402,cylinder,92.04287326793434,92.04287318450355,0.022735136063382608,0.04065798641884226,7.620832613221232,-4.806975153802403e-08,1.0002703354475786e-09,2.0035972908567484e-07,0.0003787449960419657,-6.6506290495865366e-06,-6.6506290495865366e-06,0.00038539562509155216,-0.0,-2.120056824482979e-06,-2.4752045485348954e-06,1085.1699137883656,101.75596486266173
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.6188087774294672,cylinder,92.04287324421568,92.04287319992193,0.022735135512097153,0.040657986430313806,7.6208326219317435,-2.5080625999688763e-08,5.21895898756609e-10,9.084504265012123e-07,0.00017092744005323075,-3.0154596512128033e-05,-3.0154596512128033e-05,0.0002010820365653588,-0.0,-1.1307401793662918e-06,-1.3160402268577227e-06,1085.1699138105057,117.64175284128588
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.631974921630094,cylinder,92.04287323098276,92.04287320797175,0.022735135213859767,0.040657986436519744,7.620832626757271,-1.2877549753403619e-08,2.6796541690861034e-10,7.492706139618783e-07,7.837391802980074e-05,-2.4870870622792434e-05,-2.4870870622792434e-05,0.00010324478865259319,-0.0,-5.892254234371708e-07,-6.843670112544334e-07,1085.169913822483,131.73360634252788
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.6451410658307211,cylinder,92.04287322582996,92.04287321038669,0.022735135109237446,0.0406579864386968,7.62083262859415,-8.78119360166581e-09,1.8272546016012652e-10,2.4983046988693377e-07,6.210982745555396e-05,-8.292733195058423e-06,-8.292733195058423e-06,7.040256065061238e-05,-0.0,-3.9380597945415337e-07,-4.5868297222144137e-07,1085.169913826685,113.35172473469314
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.6583072100313481,cylinder,92.04287322372227,92.04287321401262,0.022735135040733937,0.04065798644012227,7.620832629439637,-8.657352568008281e-09,1.8014848590260818e-10,-5.5627180054515805e-06,0.00025405543152592924,0.0001846457570653496,0.0001846457570653496,6.940967446057962e-05,-0.0,-2.1056426316820145e-07,-2.7452629674102796e-07,1085.169913829436,27.3206811772082
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.671473354231975,cylinder,92.04287322285904,92.04287322253873,0.022735134921563795,0.040657986442602045,7.620832630119484,-7.350316266922855e-09,1.5295072436862743e-10,-1.3067497819349315e-05,0.0004926858388686972,0.0004337552298506506,0.0004337552298506506,5.893060901804658e-05,-0.0,7.647234740779389e-08,2.216692641632202e-08,1085.169913834222,11.961092519598848
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.684639498432602,cylinder,92.04287322275212,92.04287322321625,0.022735134832624126,0.04065798644445277,7.620832630475245,-1.357949761885911e-09,2.8257205839063405e-11,-2.965302364175117e-06,0.00010931585206476601,9.842859176488525e-05,9.842859176488525e-05,1.0887260299880784e-05,-0.0,3.0985831999368785e-08,2.0953061867199288e-08,1085.169913837794,9.959452443759432
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.6978056426332289,cylinder,92.04287322161105,92.04287321531979,0.022735134844175404,0.0406579864442124,7.620832630754913,1.840971077832597e-08,-3.8308264525067655e-10,4.019962620403159e-05,-0.00148196243164494,-0.0013343639571670603,-0.0013343639571670603,-0.0001475984744778797,-0.0,-4.200456327389726e-07,-2.840314725638638e-07,1085.16991383733,-9.959663708482084
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.7109717868338559,cylinder,92.04287321968417,92.04287321698223,0.022735134894751114,0.040657986443159995,7.620832631113428,6.754443660333765e-09,-1.4055137398701753e-10,1.5163699627050098e-05,-0.0005574886278753854,-0.0005033353827628238,-0.0005033353827628238,-5.415324511256174e-05,-0.0,-1.6679573151953317e-07,-1.1689272147277587e-07,1085.1699138352988,-9.713784713231231
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.7241379310344829,cylinder,92.04287321844583,92.04287321700536,0.022735134899023828,0.04065798644307109,7.620832631447196,2.3116815375994874e-09,-4.810314996601424e-11,5.7328719216711846e-06,-0.00020882748436262498,-0.00019029375113112235,-0.00019029375113112235,-1.8533733231502624e-05,-0.0,-7.369936233937645e-08,-5.662025519199702e-08,1085.1699138351273,-8.875140783345906
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.7373040752351098,cylinder,92.04287321801439,92.04287321523401,0.022735134853045912,0.04065798644402782,7.620832631737248,8.135925748946853e-09,-1.692982575880023e-10,1.7765734382188128e-05,-0.0006549350462734774,-0.0005897058721996232,-0.0005897058721996232,-6.522917407385434e-05,-0.0,-1.856349814190341e-07,-1.2552534030005483e-07,1085.1699138369738,-9.959640187985448
